csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
,,ITEM-00004,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00005,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00006,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00007,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00008,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00009,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00010,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00011,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00012,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00013,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00014,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00015,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00016,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00017,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00018,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00019,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00020,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00021,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00022,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00023,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00024,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00025,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00026,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00027,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00028,aws,,IL5|IL5|IL6,FALSE
,,ITEM-00029,aws,,IL4,FALSE
,,ITEM-00030,aws,,IL5,FALSE
,,ITEM-00031,aws,,IL3,FALSE
,,ITEM-00032,aws,,IL3,FALSE
,,ITEM-00033,aws,,IL3,FALSE
,,ITEM-00034,aws,,IL3,FALSE
,,ITEM-00035,aws,,IL3,FALSE
,,ITEM-00036,aws,,IL5,FALSE
,,ITEM-00037,aws,,IL2,FALSE
,,ITEM-00038,aws,,IL2,FALSE
,,ITEM-00039,aws,,IL5,FALSE
,,ITEM-00040,aws,,IL3,FALSE
,,ITEM-00041,aws,,IL3,FALSE
,,ITEM-00042,aws,,IL3,FALSE
,,ITEM-00043,aws,,IL4,FALSE
,,ITEM-00044,aws,,IL4,FALSE
,,ITEM-00045,aws,,IL5,FALSE
,,ITEM-00046,aws,,IL5,FALSE
,,ITEM-00047,aws,,IL4,FALSE
,,ITEM-00048,aws,,IL2,FALSE
,,ITEM-00049,aws,,IL2,FALSE
,,ITEM-00050,aws,,IL4,FALSE
,,ITEM-00051,aws,,IL4,FALSE
,,ITEM-00052,aws,,IL5,FALSE
,,ITEM-00053,aws,,IL4,FALSE
,,ITEM-00054,aws,,IL4,FALSE
,,ITEM-00055,aws,,IL2,FALSE
,,ITEM-00056,aws,,IL2,FALSE
,,ITEM-00057,aws,,IL4,FALSE
,,ITEM-00058,aws,,IL5,FALSE
,,ITEM-00059,aws,,IL4,FALSE
,,ITEM-00060,aws,,IL3,FALSE
,,ITEM-00061,aws,,IL5,FALSE
,,ITEM-00062,aws,,IL5,FALSE
,,ITEM-00063,aws,,IL5,FALSE
,,ITEM-00064,aws,,IL2,FALSE
,,ITEM-00065,aws,,IL5,FALSE
,,ITEM-00066,aws,,IL4,FALSE
,,ITEM-00067,aws,,IL5,FALSE
,,ITEM-00068,aws,,IL4,FALSE
,,ITEM-00069,aws,,IL5,FALSE
,,ITEM-00070,aws,,IL4,FALSE
,,ITEM-00071,aws,,IL2,FALSE
,,ITEM-00072,aws,,IL4,FALSE
,,ITEM-00073,aws,,IL2,FALSE
,,ITEM-00074,aws,,IL2,FALSE
,,ITEM-00075,aws,,IL5,FALSE
,,ITEM-00076,aws,,IL4,FALSE
,,ITEM-00077,aws,,IL2,FALSE
,,ITEM-00078,aws,,IL3,FALSE
,,ITEM-00079,aws,,IL4,FALSE
,,ITEM-00080,aws,,IL3,FALSE
,,ITEM-00081,aws,,IL3,FALSE
,,ITEM-00082,aws,,IL5,FALSE
,,ITEM-00083,aws,,IL5,FALSE
,,ITEM-00084,aws,,IL5,FALSE
,,ITEM-00085,aws,,IL5,FALSE
,,ITEM-00086,aws,,IL3,FALSE
,,ITEM-00087,aws,,IL5,FALSE
,,ITEM-00088,aws,,IL3,FALSE
,,ITEM-00089,aws,,IL4,FALSE
,,ITEM-00090,aws,,IL2,FALSE
,,ITEM-00091,aws,,IL2,FALSE
,,ITEM-00092,aws,,IL4,FALSE
,,ITEM-00093,aws,,IL4,FALSE
,,ITEM-00094,aws,,IL4,FALSE
,,ITEM-00095,aws,,IL4,FALSE
,,ITEM-00096,aws,,IL2,FALSE
,,ITEM-00097,aws,,IL5,FALSE
,,ITEM-00098,aws,,IL4,FALSE
,,ITEM-00099,aws,,IL2,FALSE
,,ITEM-00100,aws,,IL3,FALSE
,,ITEM-00101,aws,,IL3,FALSE
,,ITEM-00102,aws,,IL4,FALSE
,,ITEM-00103,aws,,IL5,FALSE
,,ITEM-00104,aws,,IL2,FALSE
,,ITEM-00105,aws,,IL5,FALSE
,,ITEM-00106,aws,,IL5,FALSE
,,ITEM-00107,aws,,IL2,FALSE
,,ITEM-00108,aws,,IL2,FALSE
,,ITEM-00109,aws,,IL2,FALSE
,,ITEM-00110,aws,,IL3,FALSE
,,ITEM-00111,aws,,IL4,FALSE
,,ITEM-00112,aws,,IL4,FALSE
,,ITEM-00113,aws,,IL4,FALSE
,,ITEM-00114,aws,,IL3,FALSE
,,ITEM-00115,aws,,IL3,FALSE
,,ITEM-00116,aws,,IL5,FALSE
,,ITEM-00117,aws,,IL4,FALSE
,,ITEM-00118,aws,,IL4,FALSE
,,ITEM-00119,aws,,IL2,FALSE
,,ITEM-00120,aws,,IL2,FALSE
,,ITEM-00121,aws,,IL4,FALSE
,,ITEM-00122,aws,,IL3,FALSE
,,ITEM-00123,aws,,IL3,FALSE
,,ITEM-00124,aws,,IL3,FALSE
,,ITEM-00125,aws,,IL4,FALSE
,,ITEM-00126,aws,,IL2,FALSE
,,ITEM-00127,aws,,IL5,FALSE
,,ITEM-00128,aws,,IL3,FALSE
,,ITEM-00129,aws,,IL5,FALSE
,,ITEM-00130,aws,,IL2,FALSE
,,ITEM-00131,aws,,IL4,FALSE
,,ITEM-00132,aws,,IL4,FALSE
,,ITEM-00133,aws,,IL3,FALSE
,,ITEM-00134,aws,,IL3,FALSE
,,ITEM-00135,aws,,IL4,FALSE
,,ITEM-00136,aws,,IL2,FALSE
,,ITEM-00137,aws,,IL3,FALSE
,,ITEM-00138,aws,,IL4,FALSE
,,ITEM-00139,aws,,IL3,FALSE
,,ITEM-00140,aws,,IL2,FALSE
,,ITEM-00141,aws,,IL3,FALSE
,,ITEM-00142,aws,,IL4,FALSE
,,ITEM-00143,aws,,IL2,FALSE
,,ITEM-00144,aws,,IL3,FALSE
,,ITEM-00145,aws,,IL5,FALSE
,,ITEM-00146,aws,,IL3,FALSE
,,ITEM-00147,aws,,IL5,FALSE
,,ITEM-00148,aws,,IL5,FALSE
,,ITEM-00149,aws,,IL2,FALSE
,,ITEM-00150,aws,,IL3,FALSE
,,ITEM-00151,aws,,IL2,FALSE
,,ITEM-00152,aws,,IL5,FALSE
,,ITEM-00153,aws,,IL5,FALSE
,,ITEM-00154,aws,,IL4,FALSE
,,ITEM-00155,aws,,IL5,FALSE
,,ITEM-00156,aws,,IL5,FALSE
,,ITEM-00157,aws,,IL5,FALSE
,,ITEM-00158,aws,,IL4,FALSE
,,ITEM-00159,aws,,IL2,FALSE
,,ITEM-00160,aws,,IL2,FALSE
,,ITEM-00161,aws,,IL2,FALSE
,,ITEM-00162,aws,,IL2,FALSE
,,ITEM-00163,aws,,IL4,FALSE
,,ITEM-00164,aws,,IL4,FALSE
,,ITEM-00165,aws,,IL3,FALSE
,,ITEM-00166,aws,,IL2,FALSE
,,ITEM-00167,aws,,IL5,FALSE
,,ITEM-00168,aws,,IL4,FALSE
,,ITEM-00169,aws,,IL2,FALSE
,,ITEM-00170,aws,,IL5,FALSE
,,ITEM-00171,aws,,IL3,FALSE
,,ITEM-00172,aws,,IL3,FALSE
,,ITEM-00173,aws,,IL2,FALSE
,,ITEM-00174,aws,,IL3,FALSE
,,ITEM-00175,aws,,IL2,FALSE
,,ITEM-00176,aws,,IL3,FALSE
,,ITEM-00177,aws,,IL2,FALSE
,,ITEM-00178,aws,,IL2,FALSE
,,ITEM-00179,aws,,IL3,FALSE
,,ITEM-00180,aws,,IL4,FALSE
,,ITEM-00181,aws,,IL2,FALSE
,,ITEM-00182,aws,,IL5,FALSE
,,ITEM-00183,aws,,IL5,FALSE
,,ITEM-00184,aws,,IL4,FALSE
,,ITEM-00185,aws,,IL2,FALSE
,,ITEM-00186,aws,,IL2,FALSE
,,ITEM-00187,aws,,IL3,FALSE
,,ITEM-00188,aws,,IL2,FALSE
,,ITEM-00189,aws,,IL4,FALSE
,,ITEM-00190,aws,,IL3,FALSE
,,ITEM-00191,aws,,IL2,FALSE
,,ITEM-00192,aws,,IL2,FALSE
,,ITEM-00193,aws,,IL2,FALSE
,,ITEM-00194,aws,,IL3,FALSE
,,ITEM-00195,aws,,IL4,FALSE
,,ITEM-00196,aws,,IL2,FALSE
,,ITEM-00197,aws,,IL2,FALSE
,,ITEM-00198,aws,,IL2,FALSE
,,ITEM-00199,aws,,IL2,FALSE
,,ITEM-00200,aws,,IL4,FALSE
,,ITEM-00201,aws,,IL3,FALSE
,,ITEM-00202,aws,,IL5,FALSE
,,ITEM-00203,aws,,IL4,FALSE
,,ITEM-00204,aws,,IL5,FALSE
,,ITEM-00205,aws,,IL2,FALSE
,,ITEM-00206,aws,,IL4,FALSE
,,ITEM-00207,aws,,IL4,FALSE
,,ITEM-00208,aws,,IL4,FALSE
,,ITEM-00209,aws,,IL2,FALSE
,,ITEM-00210,aws,,IL2,FALSE
,,ITEM-00211,aws,,IL4,FALSE
,,ITEM-00212,aws,,IL3,FALSE
,,ITEM-00213,aws,,IL4,FALSE
,,ITEM-00214,aws,,IL3,FALSE
,,ITEM-00215,aws,,IL5,FALSE
,,ITEM-00216,aws,,IL2,FALSE
,,ITEM-00217,aws,,IL5,FALSE
,,ITEM-00218,aws,,IL4,FALSE
,,ITEM-00219,aws,,IL2,FALSE
,,ITEM-00220,aws,,IL2,FALSE
,,ITEM-00221,aws,,IL5,FALSE
,,ITEM-00222,aws,,IL2,FALSE
,,ITEM-00223,aws,,IL3,FALSE
,,ITEM-00224,aws,,IL2,FALSE
,,ITEM-00225,aws,,IL2,FALSE
,,ITEM-00226,aws,,IL5,FALSE
,,ITEM-00227,aws,,IL5,FALSE
,,ITEM-00228,aws,,IL2,FALSE
,,ITEM-00229,aws,,IL3,FALSE
,,ITEM-00230,aws,,IL3,FALSE
,,ITEM-00231,aws,,IL3,FALSE
,,ITEM-00232,aws,,IL5,FALSE
,,ITEM-00233,aws,,IL3,FALSE
,,ITEM-00234,aws,,IL4,FALSE
,,ITEM-00235,aws,,IL2,FALSE
,,ITEM-00236,aws,,IL4,FALSE
,,ITEM-00237,aws,,IL3,FALSE
,,ITEM-00238,aws,,IL2,FALSE
,,ITEM-00239,aws,,IL3,FALSE
,,ITEM-00240,aws,,IL2,FALSE
,,ITEM-00241,aws,,IL4,FALSE
,,ITEM-00242,aws,,IL3,FALSE
,,ITEM-00243,aws,,IL3,FALSE
,,ITEM-00244,aws,,IL4,FALSE
,,ITEM-00245,aws,,IL4,FALSE
,,ITEM-00246,aws,,IL5,FALSE
,,ITEM-00247,aws,,IL5,FALSE
,,ITEM-00248,aws,,IL2,FALSE
,,ITEM-00249,aws,,IL5,FALSE
,,ITEM-00250,aws,,IL2,FALSE
,,ITEM-00251,aws,,IL5,FALSE
,,ITEM-00252,aws,,IL5,FALSE
,,ITEM-00253,aws,,IL2,FALSE
,,ITEM-00254,aws,,IL5,FALSE
,,ITEM-00255,aws,,IL2,FALSE
,,ITEM-00256,aws,,IL3,FALSE
,,ITEM-00257,aws,,IL3,FALSE
,,ITEM-00258,aws,,IL4,FALSE
,,ITEM-00259,aws,,IL5,FALSE
,,ITEM-00260,aws,,IL4,FALSE
,,ITEM-00261,aws,,IL5,FALSE
,,ITEM-00262,aws,,IL3,FALSE
,,ITEM-00263,aws,,IL3,FALSE
,,ITEM-00264,aws,,IL3,FALSE
,,ITEM-00265,aws,,IL2,FALSE
,,ITEM-00266,aws,,IL3,FALSE
,,ITEM-00267,aws,,IL4,FALSE
,,ITEM-00268,aws,,IL4,FALSE
,,ITEM-00269,aws,,IL3,FALSE
,,ITEM-00270,aws,,IL2,FALSE
,,ITEM-00271,aws,,IL4,FALSE
,,ITEM-00272,aws,,IL3,FALSE
,,ITEM-00273,aws,,IL4,FALSE
,,ITEM-00274,aws,,IL5,FALSE
,,ITEM-00275,aws,,IL4,FALSE
,,ITEM-00276,aws,,IL5,FALSE
,,ITEM-00277,aws,,IL3,FALSE
,,ITEM-00278,aws,,IL3,FALSE
,,ITEM-00279,aws,,IL5,FALSE
,,ITEM-00280,aws,,IL4,FALSE
,,ITEM-00281,aws,,IL3,FALSE
,,ITEM-00282,aws,,IL3,FALSE
,,ITEM-00283,aws,,IL3,FALSE
,,ITEM-00284,aws,,IL3,FALSE
,,ITEM-00285,aws,,IL4,FALSE
,,ITEM-00286,aws,,IL4,FALSE
