"title","csoShortName","description","catalogitemNumber","commercialUnitPrice","commercialunitofissue","customerunitprice","customerunitofissue","discountpremiumfee"
"AWS Load Balancer (1)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00004","18.746","Month","14.06","Month","25%"
"AZURE Load Balancer (1)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00005","16.994","Month","12.746","Month","25%"
"GCP Load Balancer (1)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00006","4.215","Month","3.161","Month","25%"
"ORACLE Load Balancer (1)","Load Balancer","Standard enterprise mapping for Load Balancer","ITEM-00007","14.114","Month","10.586","Month","25%"
"AWS IAM User (2)","IAM User","Standard enterprise mapping for IAM User","ITEM-00008","11.777","Month","8.833","Month","25%"
"AZURE IAM User (2)","IAM User","Standard enterprise mapping for IAM User","ITEM-00009","13.343","Month","10.007","Month","25%"
"GCP IAM User (2)","IAM User","Standard enterprise mapping for IAM User","ITEM-00010","13.559","Month","10.169","Month","25%"
"ORACLE IAM User (2)","IAM User","Standard enterprise mapping for IAM User","ITEM-00011","18.986","Month","14.24","Month","25%"
"AWS Transcription API (3)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00012","2.67","Month","2.002","Month","25%"
"AZURE Transcription API (3)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00013","10.188","Month","7.641","Month","25%"
"GCP Transcription API (3)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00014","19.203","Month","14.402","Month","25%"
"ORACLE Transcription API (3)","Transcription API","Standard enterprise mapping for Transcription API","ITEM-00015","18.405","Month","13.804","Month","25%"
"AWS CDN Distribution (4)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00016","5.79","Month","4.342","Month","25%"
"AZURE CDN Distribution (4)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00017","2.026","Month","1.519","Month","25%"
"GCP CDN Distribution (4)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00018","4.813","Month","3.61","Month","25%"
"ORACLE CDN Distribution (4)","CDN Distribution","Standard enterprise mapping for CDN Distribution","ITEM-00019","8.75","Month","6.562","Month","25%"
