csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
,Amazon CloudWatch,ITEM-00001,aws,,IL2|IL5,FALSE
,AWS Lambda,ITEM-00002,aws,,IL2|IL4|IL5,TRUE
,Amazon SNS,ITEM-00003,aws,,IL2|IL4,FALSE
,Amazon CloudWatch,ITEM-00004,aws,,IL4|IL5|IL6,FALSE
,AWS Fargate,ITEM-00005,aws,,IL4|IL5|IL6,TRUE
,Amazon CloudFront,ITEM-00006,aws,,IL4|IL5,TRUE
,AWS Step Functions,ITEM-00007,aws,,IL5,FALSE
,Amazon Route 53,ITEM-00008,aws,,IL4|IL5|IL6,FALSE
,Amazon Athena,ITEM-00009,aws,,IL4|IL5|IL6,FALSE
,Amazon RDS,ITEM-00010,aws,,IL5,FALSE
,Amazon CloudFront,ITEM-00011,aws,,IL2|IL6,FALSE
,Amazon Redshift,ITEM-00012,aws,,IL2,FALSE
,Amazon Redshift,ITEM-00013,aws,,IL2|IL4,TRUE
,AWS Glue,ITEM-00014,aws,,IL2|IL4|IL6,FALSE
,Amazon SQS,ITEM-00015,aws,,IL5|IL6,FALSE
,Amazon QuickSight,ITEM-00016,aws,,IL4|IL5|IL6,FALSE
,Amazon DynamoDB,ITEM-00017,aws,,IL2|IL6,TRUE
,AWS Lambda,ITEM-00018,aws,,IL5,TRUE
,AWS Glue DataBrew,ITEM-00019,aws,,IL2|IL4|IL5,FALSE
,Amazon Athena,ITEM-00020,aws,,IL2,TRUE
,AWS Elastic Beanstalk,ITEM-00021,aws,,IL4|IL5|IL6,FALSE
,Amazon API Gateway,ITEM-00022,aws,,IL4,FALSE
,AWS Amplify,ITEM-00023,aws,,IL2|IL5|IL6,TRUE
,Amazon EC2,ITEM-00024,aws,,IL5,FALSE
,Amazon API Gateway,ITEM-00025,aws,,IL4,TRUE
,AWS WAF,ITEM-00026,aws,,IL5|IL6,TRUE
,Amazon API Gateway,ITEM-00027,aws,,IL6,FALSE
,Amazon WorkSpaces,ITEM-00028,aws,,IL2|IL4|IL6,FALSE
,Amazon API Gateway,ITEM-00029,aws,,IL6,FALSE
,Amazon DynamoDB,ITEM-00030,aws,,IL4|IL5,FALSE
,AWS Amplify,ITEM-00031,aws,,IL5,TRUE
,Amazon Lightsail,ITEM-00032,aws,,IL5|IL6,FALSE
,AWS Lambda,ITEM-00033,aws,,IL2|IL4|IL5,FALSE
,Amazon DynamoDB,ITEM-00034,aws,,IL4|IL5|IL6,FALSE
,Amazon AppStream 2.0,ITEM-00035,aws,,IL4,FALSE
,Amazon MQ,ITEM-00036,aws,,IL2|IL5,FALSE
,Amazon CloudFront,ITEM-00037,aws,,IL2|IL5|IL6,FALSE
,AWS Batch,ITEM-00038,aws,,IL2|IL5|IL6,TRUE
,Amazon SNS,ITEM-00039,aws,,IL2|IL6,TRUE
,Amazon QuickSight,ITEM-00040,aws,,IL4|IL5|IL6,FALSE
,AWS Elastic Beanstalk,ITEM-00041,aws,,IL2|IL6,TRUE
,Amazon Athena,ITEM-00042,aws,,IL2|IL4|IL6,FALSE
,AWS Lambda,ITEM-00043,aws,,IL4,FALSE
,Amazon SageMaker,ITEM-00044,aws,,IL2|IL4,FALSE
,AWS Lake Formation,ITEM-00045,aws,,IL5,TRUE
,AWS Lake Formation,ITEM-00046,aws,,IL2|IL4|IL6,TRUE
,Amazon DynamoDB,ITEM-00047,aws,,IL4|IL5|IL6,TRUE
,Amazon Kinesis,ITEM-00048,aws,,IL5|IL6,FALSE
,Amazon VPC,ITEM-00049,aws,,IL6,TRUE
,Amazon QuickSight,ITEM-00050,aws,,IL4,FALSE
,AWS Lake Formation,ITEM-00051,aws,,IL5|IL6,FALSE
,Amazon SQS,ITEM-00052,aws,,IL6,FALSE
,AWS Amplify,ITEM-00053,aws,,IL2|IL5|IL6,TRUE
,Amazon SQS,ITEM-00054,aws,,IL2|IL4|IL5,TRUE
