ExceptionuniqueID,csoshortname,impactlevel,ExceptionStatus,ExceptionPwsRequirement,ExceptionBasisForRequest,ExceptionSecurity
EX-26CFEEBE,Amazon CloudFront,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-324B7723,Amazon CloudFront,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-E6C5C69C,AWS Glue DataBrew,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-7BC90C46,Amazon QuickSight,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-F4370BB5,Amazon Elasticache,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-FDD4F0CC,AWS Fargate,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D9977EC5,Amazon EC2,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-5C4FAFC4,Amazon MQ,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-DA75CC0B,AWS Fargate,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-AE89C077,Amazon EKS,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-2ECF83E2,AWS Direct Connect,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-C27E04D9,Amazon AppStream 2.0,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-77DD67A2,AWS Batch,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-C57555CB,Amazon DocumentDB,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-4F5AA2B4,Amazon DocumentDB,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-77BA1C43,Amazon CloudFront,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-DF0A53F4,Amazon AppStream 2.0,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-2CD9617E,Amazon CloudFront,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-7937AA33,Amazon Redshift,IL5,Approved,Section 5.3.1,Regulatory compliance,High
