csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
Compute (VM/GPU/Serverless),EC2 - t3.micro,AWS-1000,aws,Compute,IL2,False
Compute (VM/GPU/Serverless),EC2 - t3.small,AWS-1001,aws,Compute,IL4,False
Compute (VM/GPU/Serverless),EC2 - t3.medium,AWS-1002,aws,Compute,IL6,False
Compute (VM/GPU/Serverless),EC2 - m5.large,AWS-1003,aws,Compute,IL2,False
Compute (VM/GPU/Serverless),EC2 - m5.xlarge,AWS-1004,aws,Compute,IL5,True
Compute (VM/GPU/Serverless),EC2 - c6g.large,AWS-1005,aws,Compute,IL2|IL4|IL5|IL6,False
Compute (VM/GPU/Serverless),EC2 - r6g.xlarge,AWS-1006,aws,Compute,IL4|IL5,False
Compute (VM/GPU/Serverless),EC2 - p3.2xlarge,AWS-1007,aws,Compute,IL2|IL4|IL5|IL6,False
Compute (VM/GPU/Serverless),EC2 - g4dn.xlarge,AWS-1008,aws,Compute,IL5,False
Object/Block/File Storage,S3 - Standard,AWS-1009,aws,Storage,IL5|IL6,True
Object/Block/File Storage,S3 - Intelligent-Tiering,AWS-1010,aws,Storage,IL4,True
Object/Block/File Storage,S3 - Standard-IA,AWS-1011,aws,Storage,IL2|IL4,True
Object/Block/File Storage,S3 - One Zone-IA,AWS-1012,aws,Storage,IL2|IL4|IL5|IL6,False
Object/Block/File Storage,S3 - Glacier Instant Retrieval,AWS-1013,aws,Storage,IL2|IL4|IL5|IL6,False
Object/Block/File Storage,S3 - Glacier Flexible Retrieval,AWS-1014,aws,Storage,IL4,True
Object/Block/File Storage,S3 - Glacier Deep Archive,AWS-1015,aws,Storage,IL2|IL4,False
Managed SQL/NoSQL DB,RDS - db.t3.micro,AWS-1016,aws,Database,IL2|IL4|IL5|IL6,False
Managed SQL/NoSQL DB,RDS - db.t3.small,AWS-1017,aws,Database,IL2,False
Managed SQL/NoSQL DB,RDS - db.m5.large,AWS-1018,aws,Database,IL5|IL6,False
Managed SQL/NoSQL DB,RDS - db.r5.xlarge,AWS-1019,aws,Database,IL6,True
Managed SQL/NoSQL DB,RDS - Aurora MySQL,AWS-1020,aws,Database,IL4|IL5,False
Managed SQL/NoSQL DB,RDS - Aurora PostgreSQL,AWS-1021,aws,Database,IL2|IL4,True
Managed SQL/NoSQL DB,DynamoDB - On-Demand Read,AWS-1022,aws,Database,IL2|IL4,True
Managed SQL/NoSQL DB,DynamoDB - On-Demand Write,AWS-1023,aws,Database,IL4|IL5,True
