ExceptionuniqueID,csoshortname,impactlevel,ExceptionStatus,ExceptionPwsRequirement,ExceptionBasisForRequest,ExceptionSecurity
EX-058DCD02,Azure Site Recovery,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-75F14141,Azure ExpressRoute,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-F7CBF36F,Azure API Management,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-722594B2,Azure Virtual Network,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-44BECEFD,Azure Cosmos DB,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-53C2167D,Azure Site Recovery,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-33B367B5,Azure Data Factory,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-1727F4ED,Azure Blob Storage,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-361B4EF7,Azure SQL Database,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-69C92483,Azure Stream Analytics,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D0CFF7BE,Azure Container Instances,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-BF9D3869,Azure Bastion,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-0C037EF5,Azure Stream Analytics,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-4A5C757C,Azure API Management,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-9113DAED,Azure Stream Analytics,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-EB8EFF87,Azure Logic Apps,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-AECF4F49,Azure Blob Storage,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-7A58941E,Azure API Management,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-0EC63C83,Azure Spring Apps,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-51E22FE1,Azure SQL Database,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-AF68404D,Azure SignalR Service,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-A170BA01,Azure Event Hubs,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-4796C199,Azure Traffic Manager,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-9DB68561,Azure Analysis Services,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-57BF2FF6,Azure Machine Learning,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-ADDA6484,Azure Cache for Redis,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-A111B86A,Azure Spring Apps,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-2C39DD5C,Azure Virtual Network,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-DD4C93EC,Azure API Management,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D46D6B1C,Azure Load Balancer,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-FE13C9C2,Azure Spring Apps,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-CA1A8F0B,Azure Firewall,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-03C247B7,Azure Spring Apps,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-BC4ABBDA,Azure Virtual Machines,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-9E0DEB60,Azure Kubernetes Service (AKS),IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-A0D0A563,Azure Blob Storage,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-C68BA224,Azure Stream Analytics,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-68EDA964,Azure Functions,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-A6BDC543,Azure Front Door,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-F02EBF90,Azure Batch,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-C4A582DB,Azure Databricks,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-B5CFBC4D,Azure Site Recovery,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-F5021E94,Azure Private Link,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-2D41B97E,Azure Batch,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-15B3B7C7,Azure Virtual Network,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-833DCCF4,Azure Analysis Services,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-F787DBF4,Azure Event Hubs,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-0CF0ACBE,Azure Container Instances,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-8A91A99D,Azure Logic Apps,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-85063DF9,Azure Functions,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-5AF5C3D7,Azure ExpressRoute,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-D862CFB7,Azure Advisor,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-EF9E4356,Azure Batch,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-036B3EBE,Azure Monitor,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-B1712087,Azure Databricks,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-8A590DCB,Azure Kubernetes Service (AKS),IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-E07F9E7B,Azure Front Door,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-A6E6FD73,Azure HDInsight,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-3FC50722,Azure Kubernetes Service (AKS),IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-716909AB,Azure Backup,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-DE6EB5FE,Azure App Service,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-92FB57EC,Azure Load Balancer,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-AC5D9ED1,Azure HDInsight,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-6ACEADE9,Azure Traffic Manager,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-9A34312A,Azure Service Bus,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-494E5EE9,Azure Machine Learning,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-DF1B13C2,Azure Synapse Analytics,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-D4B7F11E,Azure Key Vault,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-213CF335,Azure API Management,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-8CBB05C7,Azure Backup,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-7CB27D26,Azure Event Hubs,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-E8774EBA,Azure Virtual Machines,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-64E43114,Azure HDInsight,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-9620951C,Azure Purview,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-722F414E,Azure Private Link,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-76D8E5BB,Azure App Service,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-84CEFBA4,Azure Bastion,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-627F4E89,Azure Monitor,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-1AC87E50,Azure Batch,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-A212B7F6,Azure Advisor,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-18B0FF68,Azure HDInsight,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-41A795D1,Azure Spring Apps,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-D95947AA,Azure Load Balancer,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-064D94F0,Azure Front Door,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-2D070892,Azure Databricks,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-1FCFC8A5,Azure ExpressRoute,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-3FC28411,Azure Active Directory,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-77C4AEB2,Azure Container Instances,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-28728C2C,Azure Logic Apps,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-99A14212,Azure Virtual Machines,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-FB9420D6,Azure Firewall,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-BDD293E0,Azure Functions,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-DE51F905,Azure Event Hubs,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-1AEF53A8,Azure Spring Apps,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-ABEC4B95,Azure Firewall,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-6CF7EAE8,Azure Key Vault,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-13852486,Azure Firewall,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-19C0F3B7,Azure Front Door,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-92CF7BD9,Azure Arc,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-E565DCBD,Azure Front Door,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-4A499C54,Azure DNS,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-86D2B857,Azure Load Balancer,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-95FCE2A1,Azure Stream Analytics,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-EC2584C1,Azure Arc,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-03C33B7A,Azure API Management,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
