csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
,Azure Kubernetes Service (AKS),ITEM-00001,azure,,IL4,FALSE
,Azure DNS,ITEM-00002,azure,,IL2|IL4,FALSE
,Azure Front Door,ITEM-00003,azure,,IL2,FALSE
,Azure Key Vault,ITEM-00004,azure,,IL4|IL5|IL6,TRUE
,Azure Virtual Network,ITEM-00005,azure,,IL4,TRUE
,Azure Purview,ITEM-00006,azure,,IL2|IL5|IL6,FALSE
,Azure Backup,ITEM-00007,azure,,IL2|IL4,TRUE
,Azure Logic Apps,ITEM-00008,azure,,IL2|IL4|IL6,FALSE
,Azure Machine Learning,ITEM-00009,azure,,IL2,FALSE
,Azure Virtual Network,ITEM-00010,azure,,IL2|IL5|IL6,FALSE
,Azure Synapse Analytics,ITEM-00011,azure,,IL4|IL5|IL6,FALSE
,Azure SQL Database,ITEM-00012,azure,,IL2|IL5|IL6,TRUE
,Azure Cache for Redis,ITEM-00013,azure,,IL4|IL6,TRUE
,Azure Cache for Redis,ITEM-00014,azure,,IL2,TRUE
,Azure Data Factory,ITEM-00015,azure,,IL2,FALSE
,Azure SignalR Service,ITEM-00016,azure,,IL2|IL5,FALSE
,Azure Key Vault,ITEM-00017,azure,,IL6,FALSE
,Azure Stream Analytics,ITEM-00018,azure,,IL2,TRUE
,Azure Private Link,ITEM-00019,azure,,IL4|IL5,FALSE
,Azure Virtual Machines,ITEM-00020,azure,,IL2|IL4|IL6,TRUE
,Azure Advisor,ITEM-00021,azure,,IL4,TRUE
,Azure Logic Apps,ITEM-00022,azure,,IL2|IL5,TRUE
,Azure Functions,ITEM-00023,azure,,IL2|IL4|IL6,FALSE
,Azure Container Instances,ITEM-00024,azure,,IL2|IL4|IL6,FALSE
,Azure Container Instances,ITEM-00025,azure,,IL4|IL5,FALSE
,Azure Cache for Redis,ITEM-00026,azure,,IL4|IL5|IL6,FALSE
,Azure Purview,ITEM-00027,azure,,IL5,FALSE
,Azure Synapse Analytics,ITEM-00028,azure,,IL2,FALSE
,Azure SQL Database,ITEM-00029,azure,,IL4|IL6,TRUE
,Azure DNS,ITEM-00030,azure,,IL2|IL4|IL5,TRUE
,Azure Spring Apps,ITEM-00031,azure,,IL4,FALSE
,Azure Spring Apps,ITEM-00032,azure,,IL4|IL5|IL6,FALSE
,Azure Bastion,ITEM-00033,azure,,IL2|IL4,FALSE
,Azure API Management,ITEM-00034,azure,,IL2|IL4|IL5,TRUE
,Azure Purview,ITEM-00035,azure,,IL2|IL5|IL6,TRUE
,Azure Spring Apps,ITEM-00036,azure,,IL2|IL4|IL6,TRUE
,Azure Cosmos DB,ITEM-00037,azure,,IL2|IL4|IL5,TRUE
,Azure Service Bus,ITEM-00038,azure,,IL2|IL5|IL6,TRUE
,Azure Load Balancer,ITEM-00039,azure,,IL4|IL5|IL6,FALSE
,Azure Front Door,ITEM-00040,azure,,IL5|IL6,TRUE
,Azure Logic Apps,ITEM-00041,azure,,IL4|IL5|IL6,FALSE
,Azure Site Recovery,ITEM-00042,azure,,IL2|IL4|IL6,FALSE
,Azure Bastion,ITEM-00043,azure,,IL2|IL4|IL6,FALSE
,Azure Cache for Redis,ITEM-00044,azure,,IL2|IL5|IL6,FALSE
,Azure Firewall,ITEM-00045,azure,,IL2|IL5|IL6,FALSE
,Azure ExpressRoute,ITEM-00046,azure,,IL4|IL5,FALSE
,Azure Data Factory,ITEM-00047,azure,,IL2|IL6,FALSE
,Azure Synapse Analytics,ITEM-00048,azure,,IL4|IL5|IL6,FALSE
,Azure Stream Analytics,ITEM-00049,azure,,IL5|IL6,FALSE
,Azure Cosmos DB,ITEM-00050,azure,,IL2|IL4,TRUE
,Azure Load Balancer,ITEM-00051,azure,,IL4|IL5,TRUE
,Azure Key Vault,ITEM-00052,azure,,IL2|IL5,TRUE
,Azure Site Recovery,ITEM-00053,azure,,IL2,FALSE
,Azure Spring Apps,ITEM-00054,azure,,IL4|IL6,TRUE
,Azure Virtual Machines,ITEM-00055,azure,,IL6,FALSE
,Azure Spring Apps,ITEM-00056,azure,,IL2|IL4|IL6,FALSE
,Azure Functions,ITEM-00057,azure,,IL4|IL6,FALSE
,Azure Active Directory,ITEM-00058,azure,,IL2|IL6,FALSE
,Azure ExpressRoute,ITEM-00059,azure,,IL2|IL5|IL6,TRUE
,Azure Backup,ITEM-00060,azure,,IL6,TRUE
,Azure Data Factory,ITEM-00061,azure,,IL2|IL6,FALSE
,Azure Traffic Manager,ITEM-00062,azure,,IL2|IL5|IL6,FALSE
,Azure Cosmos DB,ITEM-00063,azure,,IL2|IL5,TRUE
,Azure Virtual Network,ITEM-00064,azure,,IL4|IL5|IL6,FALSE
,Azure Active Directory,ITEM-00065,azure,,IL4|IL6,FALSE
,Azure API Management,ITEM-00066,azure,,IL4|IL5|IL6,FALSE
,Azure Firewall,ITEM-00067,azure,,IL5|IL6,FALSE
,Azure DNS,ITEM-00068,azure,,IL4|IL5|IL6,FALSE
,Azure Front Door,ITEM-00069,azure,,IL2|IL5,TRUE
,Azure Functions,ITEM-00070,azure,,IL5|IL6,TRUE
,Azure Kubernetes Service (AKS),ITEM-00071,azure,,IL5,TRUE
,Azure Monitor,ITEM-00072,azure,,IL2|IL5,TRUE
,Azure Advisor,ITEM-00073,azure,,IL5,FALSE
,Azure Cosmos DB,ITEM-00074,azure,,IL2|IL5|IL6,FALSE
,Azure Data Factory,ITEM-00075,azure,,IL5,FALSE
,Azure Firewall,ITEM-00076,azure,,IL6,FALSE
,Azure Key Vault,ITEM-00077,azure,,IL2|IL4|IL5,FALSE
,Azure Service Bus,ITEM-00078,azure,,IL5|IL6,TRUE
,Azure DNS,ITEM-00079,azure,,IL4,FALSE
,Azure Stream Analytics,ITEM-00080,azure,,IL2,FALSE
,Azure Logic Apps,ITEM-00081,azure,,IL2|IL5|IL6,TRUE
,Azure Advisor,ITEM-00082,azure,,IL5,TRUE
,Azure Active Directory,ITEM-00083,azure,,IL2|IL4|IL6,FALSE
,Azure Key Vault,ITEM-00084,azure,,IL2|IL4|IL6,TRUE
,Azure Site Recovery,ITEM-00085,azure,,IL4,TRUE
,Azure Functions,ITEM-00086,azure,,IL2|IL5|IL6,FALSE
,Azure Functions,ITEM-00087,azure,,IL4|IL6,FALSE
,Azure Blob Storage,ITEM-00088,azure,,IL4|IL5|IL6,TRUE
,Azure Active Directory,ITEM-00089,azure,,IL4,FALSE
,Azure SignalR Service,ITEM-00090,azure,,IL2|IL4|IL5,FALSE
,Azure Arc,ITEM-00091,azure,,IL4|IL6,FALSE
,Azure Machine Learning,ITEM-00092,azure,,IL2|IL4|IL6,TRUE
,Azure Functions,ITEM-00093,azure,,IL5|IL6,TRUE
,Azure Advisor,ITEM-00094,azure,,IL4,TRUE
,Azure Site Recovery,ITEM-00095,azure,,IL2|IL4|IL6,FALSE
,Azure Front Door,ITEM-00096,azure,,IL2|IL4|IL6,TRUE
,Azure Analysis Services,ITEM-00097,azure,,IL2,FALSE
,Azure Virtual Network,ITEM-00098,azure,,IL6,TRUE
,Azure DNS,ITEM-00099,azure,,IL4|IL5,TRUE
,Azure Stream Analytics,ITEM-00100,azure,,IL2|IL4|IL5,TRUE
,Azure App Service,ITEM-00101,azure,,IL2|IL5|IL6,TRUE
,Azure Service Bus,ITEM-00102,azure,,IL2,FALSE
,Azure Purview,ITEM-00103,azure,,IL6,FALSE
,Azure App Service,ITEM-00104,azure,,IL2|IL5|IL6,FALSE
,Azure Blob Storage,ITEM-00105,azure,,IL4|IL6,FALSE
,Azure Site Recovery,ITEM-00106,azure,,IL2|IL5|IL6,TRUE
,Azure Functions,ITEM-00107,azure,,IL2|IL5|IL6,FALSE
,Azure Advisor,ITEM-00108,azure,,IL2|IL4|IL6,FALSE
,Azure Databricks,ITEM-00109,azure,,IL6,FALSE
,Azure Front Door,ITEM-00110,azure,,IL5,TRUE
,Azure Batch,ITEM-00111,azure,,IL2|IL4|IL5,TRUE
,Azure Spring Apps,ITEM-00112,azure,,IL2|IL5,TRUE
,Azure Container Instances,ITEM-00113,azure,,IL5|IL6,FALSE
,Azure Blob Storage,ITEM-00114,azure,,IL4|IL6,TRUE
