title,csoshortname,description,catalogitemNumber,commercialUnitPrice,commercialUnitOfIssue,customerUnitPrice,customerUnitOfIssue,discountpremiumfee
Azure SQL Database,Azure SQL Database,,ITEM-00001,1.917,Month,1.438,Month,25%
Azure Blob Storage,Azure Blob Storage,,ITEM-00002,44.717,Month,33.538,Month,25%
Azure Databricks,Azure Databricks,,ITEM-00003,7.31,Month,5.482,Month,25%
Azure Site Recovery,Azure Site Recovery,,ITEM-00004,13.251,Month,9.938,Month,25%
Azure Private Link,Azure Private Link,,ITEM-00005,37.803,Month,28.352,Month,25%
Azure Databricks,Azure Databricks,,ITEM-00006,23.918,Month,17.938,Month,25%
Azure Site Recovery,Azure Site Recovery,,ITEM-00007,46.984,Month,35.238,Month,25%
Azure Logic Apps,Azure Logic Apps,,ITEM-00008,22.378,Month,16.784,Month,25%
Azure ExpressRoute,Azure ExpressRoute,,ITEM-00009,17.902,Month,13.427,Month,25%
Azure Advisor,Azure Advisor,,ITEM-00010,5.675,Month,4.256,Month,25%
Azure Batch,Azure Batch,,ITEM-00011,24.024,Month,18.018,Month,25%
Azure Virtual Machines,Azure Virtual Machines,,ITEM-00012,3.936,Month,2.952,Month,25%
Azure Private Link,Azure Private Link,,ITEM-00013,39.136,Month,29.352,Month,25%
Azure Bastion,Azure Bastion,,ITEM-00014,22.614,Month,16.96,Month,25%
Azure Private Link,Azure Private Link,,ITEM-00015,21.608,Month,16.206,Month,25%
Azure Container Instances,Azure Container Instances,,ITEM-00016,18.942,Month,14.207,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00017,0.311,Month,0.233,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00018,38.15,Month,28.612,Month,25%
Azure Spring Apps,Azure Spring Apps,,ITEM-00019,19.509,Month,14.632,Month,25%
Azure Private Link,Azure Private Link,,ITEM-00020,29.173,Month,21.88,Month,25%
Azure SQL Database,Azure SQL Database,,ITEM-00021,10.62,Month,7.965,Month,25%
Azure Logic Apps,Azure Logic Apps,,ITEM-00022,46.584,Month,34.938,Month,25%
Azure Data Factory,Azure Data Factory,,ITEM-00023,9.015,Month,6.761,Month,25%
Azure Synapse Analytics,Azure Synapse Analytics,,ITEM-00024,8.245,Month,6.184,Month,25%
Azure Site Recovery,Azure Site Recovery,,ITEM-00025,0.742,Month,0.556,Month,25%
Azure Monitor,Azure Monitor,,ITEM-00026,43.677,Month,32.758,Month,25%
Azure Batch,Azure Batch,,ITEM-00027,40.747,Month,30.56,Month,25%
Azure Functions,Azure Functions,,ITEM-00028,9.365,Month,7.024,Month,25%
Azure Synapse Analytics,Azure Synapse Analytics,,ITEM-00029,10.748,Month,8.061,Month,25%
Azure Active Directory,Azure Active Directory,,ITEM-00030,24.842,Month,18.631,Month,25%
Azure Cache for Redis,Azure Cache for Redis,,ITEM-00031,34.627,Month,25.97,Month,25%
Azure Purview,Azure Purview,,ITEM-00032,16.557,Month,12.418,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00033,16.796,Month,12.597,Month,25%
Azure Cache for Redis,Azure Cache for Redis,,ITEM-00034,41.788,Month,31.341,Month,25%
Azure App Service,Azure App Service,,ITEM-00035,31.852,Month,23.889,Month,25%
Azure Stream Analytics,Azure Stream Analytics,,ITEM-00036,45.195,Month,33.896,Month,25%
Azure SignalR Service,Azure SignalR Service,,ITEM-00037,33.577,Month,25.183,Month,25%
Azure Purview,Azure Purview,,ITEM-00038,11.419,Month,8.564,Month,25%
Azure API Management,Azure API Management,,ITEM-00039,2.745,Month,2.059,Month,25%
Azure Virtual Network,Azure Virtual Network,,ITEM-00040,6.494,Month,4.87,Month,25%
Azure Logic Apps,Azure Logic Apps,,ITEM-00041,18.106,Month,13.58,Month,25%
Azure Traffic Manager,Azure Traffic Manager,,ITEM-00042,49.071,Month,36.803,Month,25%
Azure Key Vault,Azure Key Vault,,ITEM-00043,31.955,Month,23.966,Month,25%
Azure Data Factory,Azure Data Factory,,ITEM-00044,47.915,Month,35.936,Month,25%
Azure Machine Learning,Azure Machine Learning,,ITEM-00045,48.932,Month,36.699,Month,25%
Azure Cosmos DB,Azure Cosmos DB,,ITEM-00046,4.581,Month,3.436,Month,25%
Azure Front Door,Azure Front Door,,ITEM-00047,43.561,Month,32.671,Month,25%
Azure Monitor,Azure Monitor,,ITEM-00048,14.377,Month,10.783,Month,25%
Azure Service Bus,Azure Service Bus,,ITEM-00049,5.012,Month,3.759,Month,25%
Azure App Service,Azure App Service,,ITEM-00050,28.036,Month,21.027,Month,25%
Azure Front Door,Azure Front Door,,ITEM-00051,41.321,Month,30.991,Month,25%
Azure Synapse Analytics,Azure Synapse Analytics,,ITEM-00052,26.067,Month,19.55,Month,25%
