title,csoShortName,description,catalogitemNumber,commercialUnitPrice,commercialunitofissue,customerunitprice,customerunitofissue,discountpremiumfee
AZURE Virtual Machines - D2s v3 Offer,Virtual Machines - D2s v3,Official AZURE Compute offering for D2s v3.,AZURE-1000,3.3567,vCPU/Hour,3.7931,vCPU/Hour,13%
AZURE Virtual Machines - D4s v3 Offer,Virtual Machines - D4s v3,Official AZURE Compute offering for D4s v3.,AZURE-1001,3.7164,vCPU/Hour,4.088,vCPU/Hour,10%
AZURE Virtual Machines - E2s v3 Offer,Virtual Machines - E2s v3,Official AZURE Compute offering for E2s v3.,AZURE-1002,4.2683,vCPU/Hour,4.5244,vCPU/Hour,6%
AZURE Virtual Machines - F2s v2 Offer,Virtual Machines - F2s v2,Official AZURE Compute offering for F2s v2.,AZURE-1003,0.3298,vCPU/Hour,0.2902,vCPU/Hour,-12%
AZURE Virtual Machines - B1s Offer,Virtual Machines - B1s,Official AZURE Compute offering for B1s.,AZURE-1004,1.8641,vCPU/Hour,1.454,vCPU/Hour,-22%
AZURE Virtual Machines - B2s Offer,Virtual Machines - B2s,Official AZURE Compute offering for B2s.,AZURE-1005,0.6664,vCPU/Hour,0.7597,vCPU/Hour,14%
AZURE Virtual Machines - NC6 Offer,Virtual Machines - NC6,Official AZURE Compute offering for NC6.,AZURE-1006,4.0293,vCPU/Hour,3.304,vCPU/Hour,-18%
AZURE Virtual Machines - ND96asr_v4 Offer,Virtual Machines - ND96asr_v4,Official AZURE Compute offering for ND96asr_v4.,AZURE-1007,0.4048,vCPU/Hour,0.4655,vCPU/Hour,15%
AZURE Blob Storage - Hot LRS Offer,Blob Storage - Hot LRS,Official AZURE Storage offering for Hot LRS.,AZURE-1008,0.0318,GB Per Month,0.0251,GB Per Month,-21%
AZURE Blob Storage - Cool LRS Offer,Blob Storage - Cool LRS,Official AZURE Storage offering for Cool LRS.,AZURE-1009,0.0412,GB Per Month,0.0433,GB Per Month,5%
AZURE Blob Storage - Archive LRS Offer,Blob Storage - Archive LRS,Official AZURE Storage offering for Archive LRS.,AZURE-1010,0.0056,GB Per Month,0.0043,GB Per Month,-23%
AZURE Blob Storage - Premium ZRS Offer,Blob Storage - Premium ZRS,Official AZURE Storage offering for Premium ZRS.,AZURE-1011,0.0328,GB Per Month,0.0377,GB Per Month,15%
AZURE Blob Storage - Hot GRS Offer,Blob Storage - Hot GRS,Official AZURE Storage offering for Hot GRS.,AZURE-1012,0.0452,GB Per Month,0.0484,GB Per Month,7%
AZURE Azure SQL - Basic DTU Offer,Azure SQL - Basic DTU,Official AZURE Database offering for Basic DTU.,AZURE-1013,0.2357,DTU/Hour,0.2192,DTU/Hour,-7%
AZURE Azure SQL - Standard DTU Offer,Azure SQL - Standard DTU,Official AZURE Database offering for Standard DTU.,AZURE-1014,0.4138,DTU/Hour,0.4097,DTU/Hour,-1%
AZURE Azure SQL - Premium DTU Offer,Azure SQL - Premium DTU,Official AZURE Database offering for Premium DTU.,AZURE-1015,0.686,DTU/Hour,0.5488,DTU/Hour,-20%
AZURE Azure SQL - vCore General Purpose Offer,Azure SQL - vCore General Purpose,Official AZURE Database offering for vCore General Purpose.,AZURE-1016,0.7582,DTU/Hour,0.7582,DTU/Hour,0%
AZURE Azure SQL - vCore Business Critical Offer,Azure SQL - vCore Business Critical,Official AZURE Database offering for vCore Business Critical.,AZURE-1017,1.3089,DTU/Hour,1.3482,DTU/Hour,3%
AZURE Cosmos DB - Provisioned RU/s Offer,Cosmos DB - Provisioned RU/s,Official AZURE Database offering for Provisioned RU/s.,AZURE-1018,0.0176,100 RU/s/Hour,0.016,100 RU/s/Hour,-9%
AZURE Cosmos DB - Autoscale RU/s Offer,Cosmos DB - Autoscale RU/s,Official AZURE Database offering for Autoscale RU/s.,AZURE-1019,0.0197,100 RU/s/Hour,0.0197,100 RU/s/Hour,0%
AZURE Cosmos DB - Multi-region writes Offer,Cosmos DB - Multi-region writes,Official AZURE Database offering for Multi-region writes.,AZURE-1020,0.0178,100 RU/s/Hour,0.0142,100 RU/s/Hour,-20%
AZURE VPN Gateway - Basic Offer,VPN Gateway - Basic,Official AZURE Networking offering for Basic.,AZURE-1021,0.6339,Gateway/Hour,0.691,Gateway/Hour,9%
AZURE VPN Gateway - VpnGw1 Offer,VPN Gateway - VpnGw1,Official AZURE Networking offering for VpnGw1.,AZURE-1022,3.6299,Gateway/Hour,3.5936,Gateway/Hour,-1%
AZURE VPN Gateway - VpnGw2 Offer,VPN Gateway - VpnGw2,Official AZURE Networking offering for VpnGw2.,AZURE-1023,1.4722,Gateway/Hour,1.5753,Gateway/Hour,7%
AZURE VPN Gateway - VpnGw3 Offer,VPN Gateway - VpnGw3,Official AZURE Networking offering for VpnGw3.,AZURE-1024,3.5073,Gateway/Hour,3.0163,Gateway/Hour,-14%
AZURE VPN Gateway - VpnGw4 Offer,VPN Gateway - VpnGw4,Official AZURE Networking offering for VpnGw4.,AZURE-1025,2.3968,Gateway/Hour,2.4447,Gateway/Hour,2%
AZURE VPN Gateway - VpnGw5 Offer,VPN Gateway - VpnGw5,Official AZURE Networking offering for VpnGw5.,AZURE-1026,1.5147,Gateway/Hour,1.439,Gateway/Hour,-5%
AZURE Azure OpenAI - GPT-3.5-Turbo Offer,Azure OpenAI - GPT-3.5-Turbo,Official AZURE AI/ML offering for GPT-3.5-Turbo.,AZURE-1027,0.0487,1k Tokens,0.0521,1k Tokens,7%
AZURE Azure OpenAI - GPT-4 Offer,Azure OpenAI - GPT-4,Official AZURE AI/ML offering for GPT-4.,AZURE-1028,0.0034,1k Tokens,0.0026,1k Tokens,-23%
AZURE Azure OpenAI - GPT-4-32k Offer,Azure OpenAI - GPT-4-32k,Official AZURE AI/ML offering for GPT-4-32k.,AZURE-1029,0.0321,1k Tokens,0.0302,1k Tokens,-6%
