ExceptionuniqueID,csoshortname,impactlevel,ExceptionStatus,ExceptionPwsRequirement,ExceptionBasisForRequest,ExceptionSecurity
EX-D1426E81,Error Reporting,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-F38CBE2D,Cloud Bigtable,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-4BE7744E,Cloud Spanner,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-4F2C6E2F,Compute Engine,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-E7AA8C55,Cloud Storage,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-C6EC321D,Cloud Run,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-88B99B35,Cloud Storage,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-293F2292,Cloud Profiler,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-0462665F,Cloud Armor,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-B79ED767,Google Kubernetes Engine (GKE),IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-5F19B2E0,Cloud Spanner,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-D0834ABE,Dataflow,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-94503571,Cloud DNS,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-80FDEB89,Dataproc,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-099D589A,Cloud Pub/Sub,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-5D6C29B5,Cloud Deployment Manager,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-1657A79D,Cloud Pub/Sub,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-FA0E5C29,Cloud Bigtable,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-46AB8628,Google Kubernetes Engine (GKE),IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-46C85465,Apigee,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-8FE58396,Cloud KMS,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-2FE72B94,Dataflow,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-B217F9A7,Cloud Bigtable,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-EF71F637,Cloud Logging,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D41DF4C7,Apigee,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-3E5B456D,Cloud KMS,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-3F0E3724,Cloud Load Balancing,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-95A90BD8,Firestore,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-DD6D1C7B,Cloud IAM,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-FDA4B671,Cloud Bigtable,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-0D455A62,Google Kubernetes Engine (GKE),IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-7886710F,Google Kubernetes Engine (GKE),IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-33C3AE4D,Cloud Scheduler,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-7411C218,Cloud Pub/Sub,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-AE469411,Secret Manager,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-E6884B3A,VPC Network,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-8812F94D,Firestore,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-C49C0F11,Cloud Scheduler,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-67152CA2,Cloud SQL,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-8C350EDA,Cloud Monitoring,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-5A6B4108,Firestore,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-1BDC5C4A,Cloud Interconnect,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-87913F76,Cloud Trace,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-2C985D7D,VPC Network,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-DF0D9A49,Cloud Storage,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-98AE06ED,Cloud Functions,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-E3AB77FB,Cloud Run,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-8124DDBD,Cloud Logging,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-824AE623,Cloud Deployment Manager,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-177B1939,Cloud Interconnect,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-E3DAB3E6,Cloud Profiler,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-5E9A655C,Secret Manager,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-4FE86CD8,Dataflow,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-92347FC1,BigQuery,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-14176E94,Dataflow,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-7F634539,Cloud Run,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-7273298C,Cloud KMS,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-271739EE,Cloud Bigtable,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-9DD05F97,Dataproc,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-905D3C63,Cloud Armor,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-89F1FB48,Cloud Interconnect,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-EF2292B1,Cloud Bigtable,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-FE034D00,App Engine,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-E3130E51,Cloud Identity,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-0C1F1415,Cloud CDN,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-0FEDC4CC,Secret Manager,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-2A460E86,BigQuery,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-F88B54FE,Secret Manager,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-6ADD5D36,Google Kubernetes Engine (GKE),IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-583177EA,Cloud DNS,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-39FB14E8,Cloud Healthcare API,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-28B01C7C,Cloud Load Balancing,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-83E699FD,Dataproc,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-DA714908,Memorystore,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-76D581BE,Cloud Bigtable,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-5D5ED5E0,Cloud DNS,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-A6A5E5BD,Vertex AI,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-3852B174,Error Reporting,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-FAFED9A7,VPC Network,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-B2316385,VPC Network,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-95480C49,Cloud Trace,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-447FD49D,Error Reporting,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-9591854D,Cloud Monitoring,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-78C0B772,Secret Manager,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-A637778C,Cloud Storage,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-A6BEFBF1,Cloud Tasks,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-2E0E6F2F,Cloud Identity,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-604724E1,Cloud Pub/Sub,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-7F8DA098,Cloud IAM,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-BD9F462C,Cloud Functions,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-800849AC,Cloud Build,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-2F6F4D16,Cloud Healthcare API,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-5858201F,Memorystore,IL2|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-F9AAD844,Cloud Healthcare API,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-F4C35DB8,VPC Network,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-62606C63,Cloud CDN,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-475AFE47,Cloud Load Balancing,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-5BA7BC98,Cloud Armor,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-A963F217,Google Kubernetes Engine (GKE),IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-40F060EB,Firestore,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-7214D517,Cloud Load Balancing,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-CF2B9042,Cloud CDN,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-D6C972BF,Cloud Functions,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-0F8407AA,Dataproc,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-46238FF4,Cloud DNS,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-6F4377B6,Dataflow,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-3D958792,Cloud Logging,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-BE3126E7,Cloud DNS,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-65D689C4,Cloud SQL,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-2D60D96B,Google Kubernetes Engine (GKE),IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-C29C25D4,Cloud CDN,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-0FCA4A99,Cloud Logging,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-DC753887,Cloud Identity,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-74B4CDCA,Cloud Trace,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-DAC4E9FA,Cloud Trace,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-1E1F9B9C,Vertex AI,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-FF42B51C,Cloud Build,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-E66C7096,Cloud IAM,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-241DE797,Firestore,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-F39A9213,Cloud SQL,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-7B33AA19,Cloud Source Repositories,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-EB902C99,Cloud Bigtable,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-FED7A1B2,Vertex AI,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-105E809A,Cloud Deployment Manager,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-956D3ECA,Firestore,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-FE92C1B1,Dataflow,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-D46684F1,Cloud Profiler,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-5CD82A6F,Cloud CDN,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-1A057025,Cloud KMS,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-650B93C3,Cloud KMS,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D7F1E46E,Cloud CDN,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-A67060ED,Cloud Scheduler,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-6C6884DC,Dataflow,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-31748219,Cloud Spanner,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-77AF099F,Error Reporting,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-D138AEF9,Cloud KMS,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-307AA50A,Cloud Storage,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-450E9766,Secret Manager,IL2|IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-03B377D4,Firestore,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-30AB9B08,Secret Manager,IL2|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-BC11915D,VPC Network,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-23D976DA,Dataflow,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-E763321E,Cloud Interconnect,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-3D91EB70,Cloud Spanner,IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-3280B79D,Cloud Run,IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-1EBF1C40,Cloud Trace,IL2|IL4|IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-5BF595AF,Cloud Monitoring,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-1327AAC1,BigQuery,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-B8CE9DC3,Cloud Functions,IL4,Approved,Section 5.3.1,Regulatory compliance,High
EX-9C7A5DA7,Cloud CDN,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-E8FA9A5F,Cloud Healthcare API,IL2|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-CB923721,Cloud KMS,IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-77EB0909,Cloud Bigtable,IL5,Approved,Section 5.3.1,Regulatory compliance,High
EX-382466A6,Cloud Bigtable,IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-79D4C24D,Cloud Interconnect,IL4|IL5|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-07AB5F6E,Compute Engine,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
EX-6BDF8FCB,Cloud Build,IL2,Approved,Section 5.3.1,Regulatory compliance,High
EX-F2F9A9EB,Cloud KMS,IL2|IL4|IL6,Approved,Section 5.3.1,Regulatory compliance,High
