csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
,Cloud Spanner,ITEM-00001,gcp,,IL6,FALSE
,Cloud Profiler,ITEM-00002,gcp,,IL2|IL5,TRUE
,Cloud DNS,ITEM-00003,gcp,,IL4|IL5,FALSE
,Cloud Logging,ITEM-00004,gcp,,IL4|IL5|IL6,TRUE
,Firestore,ITEM-00005,gcp,,IL2|IL4|IL5,TRUE
,Cloud Trace,ITEM-00006,gcp,,IL2|IL4,FALSE
,Cloud IAM,ITEM-00007,gcp,,IL4|IL6,FALSE
,Cloud IAM,ITEM-00008,gcp,,IL2|IL4|IL5,FALSE
,Cloud SQL,ITEM-00009,gcp,,IL2|IL5,FALSE
,Cloud Trace,ITEM-00010,gcp,,IL4|IL5|IL6,FALSE
,Firestore,ITEM-00011,gcp,,IL6,FALSE
,Cloud Monitoring,ITEM-00012,gcp,,IL4,TRUE
,Google Kubernetes Engine (GKE),ITEM-00013,gcp,,IL2|IL4|IL5,TRUE
,Cloud Spanner,ITEM-00014,gcp,,IL2|IL4,FALSE
,Cloud Armor,ITEM-00015,gcp,,IL2|IL4|IL5,TRUE
,Cloud Source Repositories,ITEM-00016,gcp,,IL6,FALSE
,Cloud Profiler,ITEM-00017,gcp,,IL2|IL5|IL6,FALSE
,Cloud Pub/Sub,ITEM-00018,gcp,,IL4|IL5,FALSE
,Workflows,ITEM-00019,gcp,,IL2|IL4|IL6,TRUE
,Cloud Identity,ITEM-00020,gcp,,IL2|IL5,FALSE
,Cloud Scheduler,ITEM-00021,gcp,,IL4|IL5|IL6,FALSE
,Cloud IAM,ITEM-00022,gcp,,IL5|IL6,TRUE
,Cloud CDN,ITEM-00023,gcp,,IL2|IL5|IL6,TRUE
,Cloud Load Balancing,ITEM-00024,gcp,,IL2|IL6,TRUE
,Cloud Load Balancing,ITEM-00025,gcp,,IL4|IL5,TRUE
,Firestore,ITEM-00026,gcp,,IL4|IL6,FALSE
,Memorystore,ITEM-00027,gcp,,IL2|IL5|IL6,FALSE
,Cloud Spanner,ITEM-00028,gcp,,IL2|IL5|IL6,FALSE
,Memorystore,ITEM-00029,gcp,,IL2|IL5|IL6,FALSE
,Cloud CDN,ITEM-00030,gcp,,IL6,TRUE
,Compute Engine,ITEM-00031,gcp,,IL5,FALSE
,Cloud Tasks,ITEM-00032,gcp,,IL2,TRUE
,Memorystore,ITEM-00033,gcp,,IL2|IL5|IL6,TRUE
,BigQuery,ITEM-00034,gcp,,IL6,FALSE
,Cloud Source Repositories,ITEM-00035,gcp,,IL2,FALSE
,Apigee,ITEM-00036,gcp,,IL2|IL6,FALSE
,Compute Engine,ITEM-00037,gcp,,IL2|IL4|IL6,FALSE
,Cloud Tasks,ITEM-00038,gcp,,IL5,TRUE
,Cloud Logging,ITEM-00039,gcp,,IL2|IL4|IL5,TRUE
,App Engine,ITEM-00040,gcp,,IL5,FALSE
,Cloud Deployment Manager,ITEM-00041,gcp,,IL2|IL6,FALSE
,Cloud Identity,ITEM-00042,gcp,,IL2|IL4|IL5,TRUE
,Cloud Pub/Sub,ITEM-00043,gcp,,IL2,TRUE
,Secret Manager,ITEM-00044,gcp,,IL4,FALSE
,Cloud Scheduler,ITEM-00045,gcp,,IL2|IL4|IL5,TRUE
,Cloud Monitoring,ITEM-00046,gcp,,IL2|IL6,TRUE
,Compute Engine,ITEM-00047,gcp,,IL2,FALSE
,Cloud CDN,ITEM-00048,gcp,,IL6,TRUE
,Google Kubernetes Engine (GKE),ITEM-00049,gcp,,IL2|IL4|IL5,TRUE
,Cloud SQL,ITEM-00050,gcp,,IL5,FALSE
,Cloud Run,ITEM-00051,gcp,,IL2|IL4|IL6,FALSE
,Artifact Registry,ITEM-00052,gcp,,IL2|IL5|IL6,FALSE
,Google Kubernetes Engine (GKE),ITEM-00053,gcp,,IL2|IL4|IL5,TRUE
,Cloud Profiler,ITEM-00054,gcp,,IL2|IL5|IL6,TRUE
,Cloud Deployment Manager,ITEM-00055,gcp,,IL4|IL6,TRUE
,Cloud Run,ITEM-00056,gcp,,IL2|IL4|IL6,FALSE
,Cloud Armor,ITEM-00057,gcp,,IL5|IL6,TRUE
,Cloud DNS,ITEM-00058,gcp,,IL4|IL5|IL6,FALSE
,Cloud Source Repositories,ITEM-00059,gcp,,IL4,FALSE
,Google Kubernetes Engine (GKE),ITEM-00060,gcp,,IL5|IL6,FALSE
,Cloud Build,ITEM-00061,gcp,,IL2|IL5|IL6,TRUE
,Cloud Interconnect,ITEM-00062,gcp,,IL4|IL5|IL6,FALSE
,Cloud Run,ITEM-00063,gcp,,IL4,FALSE
,Error Reporting,ITEM-00064,gcp,,IL2|IL5,TRUE
,Cloud Spanner,ITEM-00065,gcp,,IL4|IL5,TRUE
,BigQuery,ITEM-00066,gcp,,IL2|IL6,TRUE
,Workflows,ITEM-00067,gcp,,IL4|IL5|IL6,FALSE
,Compute Engine,ITEM-00068,gcp,,IL2|IL4|IL6,FALSE
,Cloud Build,ITEM-00069,gcp,,IL4|IL5|IL6,FALSE
,Cloud Load Balancing,ITEM-00070,gcp,,IL5,TRUE
,Cloud Profiler,ITEM-00071,gcp,,IL4|IL5,TRUE
,Cloud Load Balancing,ITEM-00072,gcp,,IL2|IL5,FALSE
,Cloud Identity,ITEM-00073,gcp,,IL4|IL5|IL6,FALSE
,Cloud IAM,ITEM-00074,gcp,,IL2|IL4|IL5,FALSE
,Cloud Pub/Sub,ITEM-00075,gcp,,IL2|IL4|IL5,FALSE
,Cloud SQL,ITEM-00076,gcp,,IL2,FALSE
,Cloud Storage,ITEM-00077,gcp,,IL4,FALSE
,Cloud Functions,ITEM-00078,gcp,,IL2|IL5|IL6,TRUE
,VPC Network,ITEM-00079,gcp,,IL4,FALSE
,Cloud Healthcare API,ITEM-00080,gcp,,IL2|IL4|IL6,TRUE
,App Engine,ITEM-00081,gcp,,IL4,TRUE
,Cloud Tasks,ITEM-00082,gcp,,IL4|IL6,FALSE
,Cloud Monitoring,ITEM-00083,gcp,,IL5|IL6,TRUE
,Cloud Deployment Manager,ITEM-00084,gcp,,IL2|IL6,TRUE
,Cloud Run,ITEM-00085,gcp,,IL5|IL6,FALSE
,Cloud Identity,ITEM-00086,gcp,,IL2,TRUE
,App Engine,ITEM-00087,gcp,,IL2|IL6,FALSE
,Dataproc,ITEM-00088,gcp,,IL2|IL4|IL6,FALSE
,VPC Network,ITEM-00089,gcp,,IL2|IL6,TRUE
,Cloud Spanner,ITEM-00090,gcp,,IL4|IL5,TRUE
,Artifact Registry,ITEM-00091,gcp,,IL2|IL6,FALSE
,Cloud Pub/Sub,ITEM-00092,gcp,,IL5|IL6,TRUE
,Cloud IAM,ITEM-00093,gcp,,IL5,TRUE
,Cloud Armor,ITEM-00094,gcp,,IL4,TRUE
,Cloud Functions,ITEM-00095,gcp,,IL5,TRUE
,Cloud Healthcare API,ITEM-00096,gcp,,IL2|IL6,FALSE
,BigQuery,ITEM-00097,gcp,,IL2|IL6,FALSE
,Memorystore,ITEM-00098,gcp,,IL4|IL6,FALSE
,Cloud Identity,ITEM-00099,gcp,,IL5,TRUE
,Cloud DNS,ITEM-00100,gcp,,IL2|IL4|IL5,TRUE
,Vertex AI,ITEM-00101,gcp,,IL5|IL6,TRUE
,Cloud Logging,ITEM-00102,gcp,,IL2|IL5,FALSE
,Cloud DNS,ITEM-00103,gcp,,IL4,TRUE
,Dataflow,ITEM-00104,gcp,,IL6,TRUE
,Cloud Storage,ITEM-00105,gcp,,IL2|IL4|IL5,FALSE
,Cloud Pub/Sub,ITEM-00106,gcp,,IL2,FALSE
,Compute Engine,ITEM-00107,gcp,,IL5,FALSE
,App Engine,ITEM-00108,gcp,,IL2|IL5|IL6,FALSE
,Cloud Tasks,ITEM-00109,gcp,,IL5,FALSE
,Google Kubernetes Engine (GKE),ITEM-00110,gcp,,IL2,FALSE
,Cloud Armor,ITEM-00111,gcp,,IL5,TRUE
,Cloud Healthcare API,ITEM-00112,gcp,,IL2|IL4|IL6,TRUE
,Cloud Load Balancing,ITEM-00113,gcp,,IL2|IL4|IL5,FALSE
,Cloud CDN,ITEM-00114,gcp,,IL2|IL5|IL6,TRUE
,Cloud Monitoring,ITEM-00115,gcp,,IL4|IL5,FALSE
,Dataflow,ITEM-00116,gcp,,IL2|IL4|IL5,TRUE
,Cloud Pub/Sub,ITEM-00117,gcp,,IL2|IL4|IL6,TRUE
,Compute Engine,ITEM-00118,gcp,,IL2|IL6,FALSE
,Error Reporting,ITEM-00119,gcp,,IL2|IL4|IL5,FALSE
,Cloud Pub/Sub,ITEM-00120,gcp,,IL2|IL4|IL6,TRUE
,Cloud Deployment Manager,ITEM-00121,gcp,,IL4,FALSE
,Cloud Trace,ITEM-00122,gcp,,IL2|IL4|IL5,TRUE
,Cloud Profiler,ITEM-00123,gcp,,IL6,TRUE
,Compute Engine,ITEM-00124,gcp,,IL2|IL6,FALSE
,Cloud Deployment Manager,ITEM-00125,gcp,,IL2|IL4|IL5,TRUE
,Cloud DNS,ITEM-00126,gcp,,IL5,TRUE
,Cloud Tasks,ITEM-00127,gcp,,IL2|IL6,TRUE
,Cloud Load Balancing,ITEM-00128,gcp,,IL2,FALSE
,Cloud KMS,ITEM-00129,gcp,,IL5,FALSE
,Cloud Build,ITEM-00130,gcp,,IL4|IL5|IL6,FALSE
,Cloud Spanner,ITEM-00131,gcp,,IL2|IL4|IL6,FALSE
,Memorystore,ITEM-00132,gcp,,IL2,TRUE
,Cloud Storage,ITEM-00133,gcp,,IL5,FALSE
,BigQuery,ITEM-00134,gcp,,IL2,TRUE
,Cloud Pub/Sub,ITEM-00135,gcp,,IL4|IL6,FALSE
,Cloud IAM,ITEM-00136,gcp,,IL2|IL4|IL5,FALSE
,Compute Engine,ITEM-00137,gcp,,IL4|IL6,FALSE
,Cloud Healthcare API,ITEM-00138,gcp,,IL5|IL6,FALSE
,Cloud Storage,ITEM-00139,gcp,,IL2|IL5|IL6,TRUE
,Secret Manager,ITEM-00140,gcp,,IL5|IL6,FALSE
,Cloud SQL,ITEM-00141,gcp,,IL6,FALSE
,Memorystore,ITEM-00142,gcp,,IL4|IL5,TRUE
,Apigee,ITEM-00143,gcp,,IL6,TRUE
,Memorystore,ITEM-00144,gcp,,IL2|IL4|IL5,FALSE
,Vertex AI,ITEM-00145,gcp,,IL2|IL6,TRUE
,Cloud Bigtable,ITEM-00146,gcp,,IL2|IL4|IL6,FALSE
,Cloud Storage,ITEM-00147,gcp,,IL2,TRUE
,Cloud Functions,ITEM-00148,gcp,,IL2|IL4|IL5,TRUE
,Cloud Bigtable,ITEM-00149,gcp,,IL6,FALSE
,Dataflow,ITEM-00150,gcp,,IL4,FALSE
,Cloud IAM,ITEM-00151,gcp,,IL5|IL6,TRUE
,Artifact Registry,ITEM-00152,gcp,,IL4|IL5|IL6,FALSE
,Cloud SQL,ITEM-00153,gcp,,IL4|IL6,TRUE
,Cloud Logging,ITEM-00154,gcp,,IL2,FALSE
,Cloud Scheduler,ITEM-00155,gcp,,IL4,TRUE
,Secret Manager,ITEM-00156,gcp,,IL2|IL5,FALSE
,Cloud Identity,ITEM-00157,gcp,,IL4,TRUE
,Cloud Functions,ITEM-00158,gcp,,IL2|IL6,TRUE
,Artifact Registry,ITEM-00159,gcp,,IL4|IL5,FALSE
,Cloud Monitoring,ITEM-00160,gcp,,IL5,TRUE
,Cloud SQL,ITEM-00161,gcp,,IL4|IL6,TRUE
,Compute Engine,ITEM-00162,gcp,,IL2,TRUE
,Cloud Deployment Manager,ITEM-00163,gcp,,IL2|IL6,FALSE
,Cloud Bigtable,ITEM-00164,gcp,,IL2|IL4,TRUE
,Firestore,ITEM-00165,gcp,,IL4|IL5,TRUE
,App Engine,ITEM-00166,gcp,,IL2|IL4,FALSE
,Cloud SQL,ITEM-00167,gcp,,IL5,TRUE
,Cloud Load Balancing,ITEM-00168,gcp,,IL2,TRUE
,Cloud Interconnect,ITEM-00169,gcp,,IL4|IL5|IL6,FALSE
,Cloud KMS,ITEM-00170,gcp,,IL2|IL5|IL6,FALSE
,Cloud Spanner,ITEM-00171,gcp,,IL2|IL4|IL5,FALSE
,Cloud Storage,ITEM-00172,gcp,,IL4|IL5,TRUE
,Secret Manager,ITEM-00173,gcp,,IL2|IL4|IL5,FALSE
,Cloud SQL,ITEM-00174,gcp,,IL5|IL6,FALSE
,Cloud KMS,ITEM-00175,gcp,,IL4|IL5|IL6,FALSE
,BigQuery,ITEM-00176,gcp,,IL2|IL4|IL6,FALSE
,Cloud Identity,ITEM-00177,gcp,,IL4,TRUE
,Secret Manager,ITEM-00178,gcp,,IL5,TRUE
,Cloud Tasks,ITEM-00179,gcp,,IL4,TRUE
,Google Kubernetes Engine (GKE),ITEM-00180,gcp,,IL5|IL6,FALSE
,Cloud Armor,ITEM-00181,gcp,,IL4|IL5,TRUE
,Compute Engine,ITEM-00182,gcp,,IL2|IL5,TRUE
,Cloud Bigtable,ITEM-00183,gcp,,IL4|IL5|IL6,TRUE
,Workflows,ITEM-00184,gcp,,IL4,FALSE
,Cloud Identity,ITEM-00185,gcp,,IL5,TRUE
,Cloud Functions,ITEM-00186,gcp,,IL5,TRUE
,Dataflow,ITEM-00187,gcp,,IL2|IL5,FALSE
,Cloud Armor,ITEM-00188,gcp,,IL4|IL6,FALSE
,Cloud Pub/Sub,ITEM-00189,gcp,,IL2,TRUE
,Cloud Identity,ITEM-00190,gcp,,IL2|IL5,FALSE
,Cloud IAM,ITEM-00191,gcp,,IL2|IL4,FALSE
,Cloud Armor,ITEM-00192,gcp,,IL5|IL6,FALSE
,Cloud Trace,ITEM-00193,gcp,,IL4|IL5|IL6,TRUE
,Cloud Source Repositories,ITEM-00194,gcp,,IL2,TRUE
,Cloud KMS,ITEM-00195,gcp,,IL5,FALSE
,Workflows,ITEM-00196,gcp,,IL2,TRUE
,Dataflow,ITEM-00197,gcp,,IL4|IL6,TRUE
,Cloud Storage,ITEM-00198,gcp,,IL2|IL4,FALSE
,Cloud Bigtable,ITEM-00199,gcp,,IL2,TRUE
,Cloud CDN,ITEM-00200,gcp,,IL4|IL5,TRUE
,Cloud Trace,ITEM-00201,gcp,,IL4|IL5,FALSE
,Cloud IAM,ITEM-00202,gcp,,IL2|IL4|IL5,TRUE
,Cloud Logging,ITEM-00203,gcp,,IL5,FALSE
,Cloud Tasks,ITEM-00204,gcp,,IL2|IL4,FALSE
,Google Kubernetes Engine (GKE),ITEM-00205,gcp,,IL2|IL5,FALSE
,Dataflow,ITEM-00206,gcp,,IL2|IL5|IL6,TRUE
,Compute Engine,ITEM-00207,gcp,,IL4,FALSE
