csOParentService,csoShortName,catalogitemNumber,csp,category,impactlevel,newService
Oracle Cloud Infrastructure Identity and Access Management,IAM,ITEM-ORCL-00001,oracle,,IL5|IL6,TRUE
Oracle Cloud Infrastructure Object Storage,Object Storage,ITEM-ORCL-00002,oracle,,IL2,TRUE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00003,oracle,,IL2,TRUE
Oracle Cloud Infrastructure Object Storage,Object Storage,ITEM-ORCL-00004,oracle,,IL4|IL6,FALSE
Oracle Cloud Infrastructure Data Flow,Data Flow,ITEM-ORCL-00005,oracle,,IL2|IL4|IL5,FALSE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00006,oracle,,IL5|IL6,FALSE
Oracle Cloud Infrastructure FastConnect,FastConnect,ITEM-ORCL-00007,oracle,,IL2,TRUE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00008,oracle,,IL2|IL4|IL5,FALSE
Oracle Cloud Infrastructure Object Storage,Object Storage,ITEM-ORCL-00009,oracle,,IL2,FALSE
Oracle Cloud Infrastructure Data Safe,Data Safe,ITEM-ORCL-00010,oracle,,IL4|IL5|IL6,FALSE
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,ITEM-ORCL-00011,oracle,,IL4|IL5|IL6,FALSE
Oracle Cloud Infrastructure Data Safe,Data Safe,ITEM-ORCL-00012,oracle,,IL5,TRUE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00013,oracle,,IL2,FALSE
Oracle Cloud Infrastructure Object Storage,Object Storage,ITEM-ORCL-00014,oracle,,IL4|IL5,FALSE
Oracle Cloud Infrastructure Monitoring,Monitoring,ITEM-ORCL-00015,oracle,,IL4|IL5|IL6,FALSE
Oracle Autonomous Database,Autonomous Database,ITEM-ORCL-00016,oracle,,IL5|IL6,FALSE
Oracle Cloud Infrastructure Big Data Service,Big Data Service,ITEM-ORCL-00017,oracle,,IL2|IL5|IL6,TRUE
Oracle Cloud Infrastructure Object Storage,Object Storage,ITEM-ORCL-00018,oracle,,IL2,FALSE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00019,oracle,,IL2|IL5|IL6,FALSE
Oracle Cloud Infrastructure Identity and Access Management,IAM,ITEM-ORCL-00020,oracle,,IL2|IL4|IL5,FALSE
Oracle Cloud Infrastructure Key Management,KMS,ITEM-ORCL-00021,oracle,,IL4|IL6,TRUE
Oracle Cloud Infrastructure API Gateway,API Gateway,ITEM-ORCL-00022,oracle,,IL4,TRUE
Oracle Cloud Infrastructure Load Balancing,Load Balancer,ITEM-ORCL-00023,oracle,,IL4|IL5|IL6,TRUE
Oracle Cloud Infrastructure Monitoring,Monitoring,ITEM-ORCL-00024,oracle,,IL4,FALSE
Oracle Cloud Infrastructure Key Management,KMS,ITEM-ORCL-00025,oracle,,IL2|IL5|IL6,TRUE
Oracle Cloud Infrastructure Monitoring,Monitoring,ITEM-ORCL-00026,oracle,,IL4|IL5|IL6,FALSE
Oracle Cloud Infrastructure FastConnect,FastConnect,ITEM-ORCL-00027,oracle,,IL4|IL5,FALSE
Oracle Cloud Infrastructure Data Safe,Data Safe,ITEM-ORCL-00028,oracle,,IL5,FALSE
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,ITEM-ORCL-00029,oracle,,IL4|IL5,TRUE
Oracle Cloud Infrastructure Object Storage,Object Storage,ITEM-ORCL-00030,oracle,,IL4,FALSE
Oracle Cloud Infrastructure Web Application Firewall,WAF,ITEM-ORCL-00031,oracle,,IL2|IL6,TRUE
Oracle Cloud Infrastructure Data Safe,Data Safe,ITEM-ORCL-00032,oracle,,IL4|IL5|IL6,FALSE
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,ITEM-ORCL-00033,oracle,,IL2,TRUE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00034,oracle,,IL2|IL4|IL6,FALSE
Oracle Autonomous Database,Autonomous Database,ITEM-ORCL-00035,oracle,,IL2|IL4|IL5,FALSE
Oracle Cloud Infrastructure API Gateway,API Gateway,ITEM-ORCL-00036,oracle,,IL4,FALSE
Oracle Cloud Infrastructure Monitoring,Monitoring,ITEM-ORCL-00037,oracle,,IL4|IL5,TRUE
Oracle Cloud Infrastructure Identity and Access Management,IAM,ITEM-ORCL-00038,oracle,,IL4|IL6,TRUE
Oracle Autonomous Database,Autonomous Database,ITEM-ORCL-00039,oracle,,IL4|IL5|IL6,TRUE
Oracle Cloud Infrastructure Compute,Compute,ITEM-ORCL-00040,oracle,,IL5,TRUE
Oracle Cloud Infrastructure API Gateway,API Gateway,ITEM-ORCL-00041,oracle,,IL2|IL6,FALSE
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,ITEM-ORCL-00042,oracle,,IL2|IL5,FALSE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00043,oracle,,IL5,FALSE
Oracle Cloud Infrastructure Web Application Firewall,WAF,ITEM-ORCL-00044,oracle,,IL6,TRUE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00045,oracle,,IL4,FALSE
Oracle Cloud Infrastructure Streaming,Streaming,ITEM-ORCL-00046,oracle,,IL2,FALSE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00047,oracle,,IL6,TRUE
Oracle Cloud Infrastructure Web Application Firewall,WAF,ITEM-ORCL-00048,oracle,,IL5|IL6,TRUE
Oracle Cloud Infrastructure FastConnect,FastConnect,ITEM-ORCL-00049,oracle,,IL4|IL6,FALSE
Oracle Cloud Infrastructure Identity and Access Management,IAM,ITEM-ORCL-00050,oracle,,IL2,FALSE
Oracle Autonomous Database,Autonomous Database,ITEM-ORCL-00051,oracle,,IL5|IL6,TRUE
Oracle Autonomous Database,Autonomous Database,ITEM-ORCL-00052,oracle,,IL2|IL5,TRUE
Oracle Cloud Infrastructure Block Volumes,Block Volume,ITEM-ORCL-00053,oracle,,IL4,TRUE
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,ITEM-ORCL-00054,oracle,,IL4|IL6,TRUE
Oracle Cloud Infrastructure API Gateway,API Gateway,ITEM-ORCL-00055,oracle,,IL4|IL6,TRUE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00056,oracle,,IL4|IL5,TRUE
Oracle Cloud Infrastructure FastConnect,FastConnect,ITEM-ORCL-00057,oracle,,IL4,FALSE
Oracle Cloud Infrastructure Web Application Firewall,WAF,ITEM-ORCL-00058,oracle,,IL2|IL5|IL6,TRUE
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,ITEM-ORCL-00059,oracle,,IL4|IL5|IL6,TRUE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00060,oracle,,IL2|IL4|IL5,TRUE
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,ITEM-ORCL-00061,oracle,,IL5,FALSE
Oracle Cloud Infrastructure Web Application Firewall,WAF,ITEM-ORCL-00062,oracle,,IL2|IL4|IL5,FALSE
Oracle Cloud Infrastructure Big Data Service,Big Data Service,ITEM-ORCL-00063,oracle,,IL2|IL5|IL6,TRUE
Oracle Cloud Infrastructure API Gateway,API Gateway,ITEM-ORCL-00064,oracle,,IL2|IL4|IL6,FALSE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00065,oracle,,IL4|IL5,TRUE
Oracle Autonomous Database,Autonomous Database,ITEM-ORCL-00066,oracle,,IL5|IL6,FALSE
Oracle Cloud Infrastructure Data Safe,Data Safe,ITEM-ORCL-00067,oracle,,IL2|IL4|IL5,FALSE
Oracle Cloud Infrastructure Compute,Compute,ITEM-ORCL-00068,oracle,,IL4|IL5|IL6,TRUE
Oracle Cloud Infrastructure Streaming,Streaming,ITEM-ORCL-00069,oracle,,IL2|IL5,TRUE
Oracle Cloud Infrastructure Big Data Service,Big Data Service,ITEM-ORCL-00070,oracle,,IL2|IL5|IL6,FALSE
Oracle Cloud Infrastructure Identity and Access Management,IAM,ITEM-ORCL-00071,oracle,,IL2|IL5,TRUE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00072,oracle,,IL2|IL4|IL5,TRUE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00073,oracle,,IL4,FALSE
Oracle Cloud Infrastructure Streaming,Streaming,ITEM-ORCL-00074,oracle,,IL6,FALSE
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,ITEM-ORCL-00075,oracle,,IL2|IL5|IL6,TRUE
Oracle Cloud Infrastructure Data Flow,Data Flow,ITEM-ORCL-00076,oracle,,IL5,TRUE
Oracle Cloud Infrastructure Identity and Access Management,IAM,ITEM-ORCL-00077,oracle,,IL2|IL4|IL6,FALSE
Oracle Cloud Infrastructure Block Volumes,Block Volume,ITEM-ORCL-00078,oracle,,IL2,TRUE
Oracle Cloud Infrastructure Monitoring,Monitoring,ITEM-ORCL-00079,oracle,,IL4|IL5|IL6,FALSE
Oracle Cloud Infrastructure Object Storage,Object Storage,ITEM-ORCL-00080,oracle,,IL4,TRUE
Oracle Cloud Infrastructure FastConnect,FastConnect,ITEM-ORCL-00081,oracle,,IL2|IL4|IL6,FALSE
Oracle Cloud Infrastructure API Gateway,API Gateway,ITEM-ORCL-00082,oracle,,IL5,TRUE
Oracle Cloud Infrastructure FastConnect,FastConnect,ITEM-ORCL-00083,oracle,,IL2|IL4,TRUE
Oracle Autonomous Database,Autonomous Database,ITEM-ORCL-00084,oracle,,IL4|IL5|IL6,FALSE
Oracle Autonomous Database,Autonomous Database,ITEM-ORCL-00085,oracle,,IL2,FALSE
Oracle Cloud Infrastructure Data Safe,Data Safe,ITEM-ORCL-00086,oracle,,IL4|IL6,TRUE
Oracle Cloud Infrastructure Block Volumes,Block Volume,ITEM-ORCL-00087,oracle,,IL4|IL6,FALSE
Oracle Cloud Infrastructure Identity and Access Management,IAM,ITEM-ORCL-00088,oracle,,IL2|IL5|IL6,FALSE
Oracle Cloud Infrastructure FastConnect,FastConnect,ITEM-ORCL-00089,oracle,,IL5,TRUE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00090,oracle,,IL6,TRUE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00091,oracle,,IL2|IL4|IL5,TRUE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00092,oracle,,IL5|IL6,FALSE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00093,oracle,,IL4|IL5,TRUE
Oracle Cloud Infrastructure Compute,Compute,ITEM-ORCL-00094,oracle,,IL2,FALSE
Oracle Cloud Infrastructure Object Storage,Object Storage,ITEM-ORCL-00095,oracle,,IL5,TRUE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00096,oracle,,IL5|IL6,TRUE
Oracle Cloud Infrastructure Big Data Service,Big Data Service,ITEM-ORCL-00097,oracle,,IL2|IL4|IL6,TRUE
Oracle Cloud Infrastructure Data Safe,Data Safe,ITEM-ORCL-00098,oracle,,IL4,TRUE
Oracle Cloud Infrastructure Data Flow,Data Flow,ITEM-ORCL-00099,oracle,,IL5,TRUE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00100,oracle,,IL5|IL6,FALSE
Oracle Cloud Infrastructure Streaming,Streaming,ITEM-ORCL-00101,oracle,,IL4|IL5,TRUE
Oracle Cloud Infrastructure Load Balancing,Load Balancer,ITEM-ORCL-00102,oracle,,IL5|IL6,TRUE
Oracle Cloud Infrastructure Big Data Service,Big Data Service,ITEM-ORCL-00103,oracle,,IL6,FALSE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00104,oracle,,IL4,TRUE
Oracle Cloud Infrastructure API Gateway,API Gateway,ITEM-ORCL-00105,oracle,,IL2|IL6,FALSE
Oracle Cloud Infrastructure Data Safe,Data Safe,ITEM-ORCL-00106,oracle,,IL2|IL6,TRUE
Oracle Cloud Infrastructure Key Management,KMS,ITEM-ORCL-00107,oracle,,IL2|IL5|IL6,FALSE
Oracle Cloud Infrastructure Block Volumes,Block Volume,ITEM-ORCL-00108,oracle,,IL2|IL4|IL6,FALSE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00109,oracle,,IL4,TRUE
Oracle Cloud Infrastructure FastConnect,FastConnect,ITEM-ORCL-00110,oracle,,IL2|IL5|IL6,FALSE
Oracle Cloud Infrastructure Compute,Compute,ITEM-ORCL-00111,oracle,,IL2,TRUE
Oracle Cloud Infrastructure Streaming,Streaming,ITEM-ORCL-00112,oracle,,IL2|IL4,TRUE
Oracle Cloud Infrastructure Virtual Cloud Network,VCN,ITEM-ORCL-00113,oracle,,IL4|IL6,TRUE
Oracle Cloud Infrastructure Compute,Compute,ITEM-ORCL-00114,oracle,,IL5,FALSE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00115,oracle,,IL2|IL5,TRUE
Oracle Cloud Infrastructure Streaming,Streaming,ITEM-ORCL-00116,oracle,,IL6,TRUE
Oracle Cloud Infrastructure Load Balancing,Load Balancer,ITEM-ORCL-00117,oracle,,IL2|IL6,FALSE
Oracle Cloud Infrastructure Monitoring,Monitoring,ITEM-ORCL-00118,oracle,,IL2|IL4|IL6,FALSE
Oracle Cloud Infrastructure Streaming,Streaming,ITEM-ORCL-00119,oracle,,IL6,TRUE
Oracle Cloud Infrastructure Functions,Functions,ITEM-ORCL-00120,oracle,,IL2|IL6,TRUE
Oracle Cloud Infrastructure Big Data Service,Big Data Service,ITEM-ORCL-00121,oracle,,IL4|IL5|IL6,TRUE
Oracle Cloud Infrastructure Object Storage,Object Storage,ITEM-ORCL-00122,oracle,,IL4|IL5,FALSE
Oracle Cloud Infrastructure Identity and Access Management,IAM,ITEM-ORCL-00123,oracle,,IL2|IL5|IL6,FALSE
Oracle Cloud Infrastructure Object Storage,Object Storage,ITEM-ORCL-00124,oracle,,IL2|IL6,FALSE
Oracle Cloud Infrastructure Big Data Service,Big Data Service,ITEM-ORCL-00125,oracle,,IL5|IL6,FALSE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00126,oracle,,IL2|IL4|IL6,TRUE
Oracle Cloud Infrastructure Exadata Cloud Service,Exadata,ITEM-ORCL-00127,oracle,,IL2|IL4,FALSE
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,ITEM-ORCL-00128,oracle,,IL6,TRUE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00129,oracle,,IL6,FALSE
Oracle Cloud Infrastructure Web Application Firewall,WAF,ITEM-ORCL-00130,oracle,,IL5|IL6,FALSE
Oracle Cloud Infrastructure Data Safe,Data Safe,ITEM-ORCL-00131,oracle,,IL4|IL6,TRUE
Oracle Cloud Infrastructure Logging,Logging,ITEM-ORCL-00132,oracle,,IL2|IL4|IL6,FALSE
Oracle Cloud Infrastructure Container Engine for Kubernetes,OKE,ITEM-ORCL-00133,oracle,,IL4|IL6,TRUE
Oracle Cloud Infrastructure Monitoring,Monitoring,ITEM-ORCL-00134,oracle,,IL4|IL5,TRUE
Oracle Cloud Infrastructure Data Safe,Data Safe,ITEM-ORCL-00135,oracle,,IL6,TRUE
Oracle Cloud Infrastructure Streaming,Streaming,ITEM-ORCL-00136,oracle,,IL5,TRUE
Oracle Cloud Infrastructure Object Storage,Object Storage,ITEM-ORCL-00137,oracle,,IL4,FALSE
Oracle Cloud Infrastructure Web Application Firewall,WAF,ITEM-ORCL-00138,oracle,,IL2|IL4|IL6,FALSE
Oracle Autonomous Database,Autonomous Database,ITEM-ORCL-00139,oracle,,IL4|IL5,FALSE
