ExceptionuniqueID,csoshortname,impactlevel,ExceptionStatus,ExceptionPwsRequirement,ExceptionBasisForRequest,ExceptionSecurity
EX-ORCL-534176A0,Logging,IL2|IL4|IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-53F3EA8F,Streaming,IL5|IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-50FD1CA0,Data Safe,IL2|IL4|IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-9A91D534,Logging,IL2,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-AD8A88C9,OKE,IL4|IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-5BF0711B,Data Flow,IL2|IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-0C9787F4,KMS,IL2|IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-99386E56,API Gateway,IL2|IL4|IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-F24ED72D,Block Volume,IL2|IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-137DF53C,Data Safe,IL2|IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-A9643338,VCN,IL2|IL4|IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-596005B0,KMS,IL2|IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-5851D4F7,FastConnect,IL4|IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-DE6890AF,Logging,IL2|IL4|IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-BBA0C67B,Block Volume,IL4|IL5|IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-65823066,Exadata,IL2,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-37904FFF,IAM,IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-1D17B9BF,Object Storage,IL2|IL4|IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-6680FD10,Block Volume,IL2|IL5|IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-1CA453FD,VCN,IL2|IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-4C1F8A0D,Functions,IL5|IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-E60874AC,Autonomous Database,IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-29529944,VCN,IL2,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-3063E92C,FastConnect,IL2|IL4|IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-94EE2118,Logging,IL2|IL5,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-C81DFD57,Logging,IL2|IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-13B22050,KMS,IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-34B773C5,Data Flow,IL2|IL4|IL6,Approved,Section 5.3.1,Government compliance,High
EX-ORCL-DDF82851,Monitoring,IL2|IL5|IL6,Approved,Section 5.3.1,Government compliance,High
